Auto	LfdNr	Datum	Betrag	Text	Beleg	Bez.am	Soll	Haben	Steuer	Kategorie	Abschluss	Konto
M	37535	01.11.2024	-9137,88	Bar personal auszahlung		01.11.2024			0			1600
A	37536	01.11.2024	9137,88	Storno: Bar personal auszahlung		01.11.2024			0			1600
A	37551	01.11.2024	1015,92	lieferando Online bezahlt 7%		01.11.2024			7	Umsatzerlöse	4116	1600
A	37552	01.11.2024	67,9	lieferando Online bezahlt 19%		01.11.2024			19	Umsatzerlöse	4116	1600
A	37553	01.11.2024	368,8	ordersmart Online bezahlt 7%		01.11.2024			7	Umsatzerlöse	4116	1600
A	37554	01.11.2024	262,56	Barzahlung 7%		01.11.2024			7	Umsatzerlöse	4116	1600
A	37555	01.11.2024	7,67	Barzahlung 19%		01.11.2024			19	Umsatzerlöse	4116	1600
A	37556	01.11.2024	338,08	ordersmart Online PayPal 7%		01.11.2024			7	Umsatzerlöse	4116	1600
A	37557	01.11.2024	5,5	ordersmart Online PayPal 19%		01.11.2024			19	Umsatzerlöse	4116	1600
A	37558	01.11.2024	18,8	Online Bezahlt 7%		01.11.2024			7	Umsatzerlöse	4116	1600
A	37559	01.11.2024	1	Online Bezahlt 19%		01.11.2024			19	Umsatzerlöse	4116	1600
A	37560	01.11.2024	5	ordersmart Online bezahlt 19%		01.11.2024			19	Umsatzerlöse	4116	1600
A	37561	01.11.2024	38,87	ec-Karte 7%		01.11.2024			7	Umsatzerlöse	4116	1600
A	37562	01.11.2024	1,33	ec-Karte 19%		01.11.2024			19	Umsatzerlöse	4116	1600
A	37563	01.11.2024	-19,8	Abführung Überweisung		01.11.2024			0	Abführung	4116	1600
A	37564	01.11.2024	-40,2	Abführung ec-Karte		01.11.2024			0	Abführung	4116	1600
A	37565	01.11.2024	-1457,62	Abführung Online bezahlt		01.11.2024			0	Abführung	4116	1600
A	37566	01.11.2024	-343,58	Abführung Online PayPal		01.11.2024			0	Abführung	4116	1600
M	37567	02.11.2024	-9000	Volksbank Einzahlung		02.11.2024			0			1600
A	37568	02.11.2024	976,77	lieferando Online bezahlt 7%		02.11.2024			7	Umsatzerlöse	4117	1600
A	37569	02.11.2024	64,3	lieferando Online bezahlt 19%		02.11.2024			19	Umsatzerlöse	4117	1600
A	37570	02.11.2024	547,87	Barzahlung 7%		02.11.2024			7	Umsatzerlöse	4117	1600
A	37571	02.11.2024	22,4	Barzahlung 19%		02.11.2024			19	Umsatzerlöse	4117	1600
A	37572	02.11.2024	163,86	ordersmart Online PayPal 7%		02.11.2024			7	Umsatzerlöse	4117	1600
A	37573	02.11.2024	2	ordersmart Online PayPal 19%		02.11.2024			19	Umsatzerlöse	4117	1600
A	37574	02.11.2024	475,78	ordersmart Online bezahlt 7%		02.11.2024			7	Umsatzerlöse	4117	1600
A	37575	02.11.2024	18,8	ordersmart Online bezahlt 19%		02.11.2024			19	Umsatzerlöse	4117	1600
A	37576	02.11.2024	102,1	ec-Karte 7%		02.11.2024			7	Umsatzerlöse	4117	1600
A	37577	02.11.2024	80,87	Online Bezahlt 7%		02.11.2024			7	Umsatzerlöse	4117	1600
A	37578	02.11.2024	2	Online Bezahlt 19%		02.11.2024			19	Umsatzerlöse	4117	1600
A	37579	02.11.2024	1	ec-Karte 19%		02.11.2024			19	Umsatzerlöse	4117	1600
A	37580	02.11.2024	-82,87	Abführung Überweisung		02.11.2024			0	Abführung	4117	1600
A	37581	02.11.2024	-103,1	Abführung ec-Karte		02.11.2024			0	Abführung	4117	1600
A	37582	02.11.2024	-1535,65	Abführung Online bezahlt		02.11.2024			0	Abführung	4117	1600
A	37583	02.11.2024	-165,86	Abführung Online PayPal		02.11.2024			0	Abführung	4117	1600
A	37584	03.11.2024	1424,18	lieferando Online bezahlt 7%		03.11.2024			7	Umsatzerlöse	4118	1600
A	37585	03.11.2024	56,35	lieferando Online bezahlt 19%		03.11.2024			19	Umsatzerlöse	4118	1600
A	37586	03.11.2024	68,26	ec-Karte 7%		03.11.2024			7	Umsatzerlöse	4118	1600
A	37587	03.11.2024	317,85	ordersmart Online bezahlt 7%		03.11.2024			7	Umsatzerlöse	4118	1600
A	37588	03.11.2024	4	ordersmart Online bezahlt 19%		03.11.2024			19	Umsatzerlöse	4118	1600
A	37589	03.11.2024	553,58	Barzahlung 7%		03.11.2024			7	Umsatzerlöse	4118	1600
A	37590	03.11.2024	21,4	Barzahlung 19%		03.11.2024			19	Umsatzerlöse	4118	1600
A	37591	03.11.2024	176,97	ordersmart Online PayPal 7%		03.11.2024			7	Umsatzerlöse	4118	1600
A	37592	03.11.2024	3	ordersmart Online PayPal 19%		03.11.2024			19	Umsatzerlöse	4118	1600
A	37593	03.11.2024	12,9	Online Bezahlt 7%		03.11.2024			7	Umsatzerlöse	4118	1600
A	37594	03.11.2024	1	Online Bezahlt 19%		03.11.2024			19	Umsatzerlöse	4118	1600
A	37595	03.11.2024	1	ec-Karte 19%		03.11.2024			19	Umsatzerlöse	4118	1600
A	37596	03.11.2024	-13,9	Abführung Überweisung		03.11.2024			0	Abführung	4118	1600
A	37597	03.11.2024	-69,26	Abführung ec-Karte		03.11.2024			0	Abführung	4118	1600
A	37598	03.11.2024	-1802,38	Abführung Online bezahlt		03.11.2024			0	Abführung	4118	1600
A	37599	03.11.2024	-179,97	Abführung Online PayPal		03.11.2024			0	Abführung	4118	1600
A	37600	04.11.2024	389,7	Barzahlung 7%		04.11.2024			7	Umsatzerlöse	4119	1600
A	37601	04.11.2024	23,6	Barzahlung 19%		04.11.2024			19	Umsatzerlöse	4119	1600
A	37602	04.11.2024	778,3	lieferando Online bezahlt 7%		04.11.2024			7	Umsatzerlöse	4119	1600
A	37603	04.11.2024	41,55	lieferando Online bezahlt 19%		04.11.2024			19	Umsatzerlöse	4119	1600
A	37604	04.11.2024	10,5	ordersmart Online PayPal 7%		04.11.2024			7	Umsatzerlöse	4119	1600
A	37605	04.11.2024	1	ordersmart Online PayPal 19%		04.11.2024			19	Umsatzerlöse	4119	1600
A	37606	04.11.2024	68,23	Online Bezahlt 7%		04.11.2024			7	Umsatzerlöse	4119	1600
A	37607	04.11.2024	2,5	Online Bezahlt 19%		04.11.2024			19	Umsatzerlöse	4119	1600
A	37608	04.11.2024	76,6	ordersmart Online bezahlt 7%		04.11.2024			7	Umsatzerlöse	4119	1600
A	37609	04.11.2024	3,5	ordersmart Online bezahlt 19%		04.11.2024			19	Umsatzerlöse	4119	1600
A	37610	04.11.2024	-70,73	Abführung Überweisung		04.11.2024			0	Abführung	4119	1600
